prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
18	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
32	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	95	383
32	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	319	2134
32	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	22	93
32	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	54	249
32	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
12	K. pneumoniae	respiratory	1401	1411	1661	0	0	0	1	3	0	52	2336
12	K. pneumoniae	urine	1401	1411	1661	3	1	0	0	0	0	41	1431
12	K. pneumoniae	stool	1401	1411	1661	0	0	0	0	0	0	11	399
12	K. pneumoniae	blood	1401	1411	1661	0	0	0	0	0	0	7	455
12	K. pneumoniae	spinal	1401	1411	1661	0	0	0	0	0	0	0	3
3	K. pneumoniae	respiratory	1401	1411	1661	0	0	0	0	0	0	57	615
3	K. pneumoniae	urine	1401	1411	1661	0	0	0	0	0	0	14	386
3	K. pneumoniae	stool	1401	1411	1661	1	0	0	0	0	0	4	101
3	K. pneumoniae	blood	1401	1411	1661	0	0	0	0	0	0	7	107
3	K. pneumoniae	spinal	1401	1411	1661	0	0	0	0	0	0	0	3
16	K. pneumoniae	respiratory	1401	1411	1661	0	0	0	1	0	0	26	888
16	K. pneumoniae	urine	1401	1411	1661	0	0	0	0	0	0	10	250
16	K. pneumoniae	stool	1401	1411	1661	0	0	0	0	0	0	7	3
16	K. pneumoniae	blood	1401	1411	1661	0	0	0	0	0	0	2	89
16	K. pneumoniae	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
24	K. pneumoniae	respiratory	1401	1411	1661	0	0	0	1	0	0	12	860
24	K. pneumoniae	urine	1401	1411	1661	1	0	0	0	0	0	15	435
24	K. pneumoniae	stool	1401	1411	1661	1	0	0	0	0	0	24	207
24	K. pneumoniae	blood	1401	1411	1661	0	0	0	0	0	0	2	110
24	K. pneumoniae	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
2	K. pneumoniae	respiratory	1401	1411	1661	0	0	0	1	0	0	10	706
2	K. pneumoniae	urine	1401	1411	1661	0	0	0	0	0	0	33	492
2	K. pneumoniae	stool	1401	1411	1661	0	0	0	0	0	0	0	13
2	K. pneumoniae	blood	1401	1411	1661	0	0	0	0	0	0	0	126
2	K. pneumoniae	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
45	K. pneumoniae	respiratory	1401	1411	1661	3	0	0	0	0	0	3	597
45	K. pneumoniae	urine	1401	1411	1661	2	0	0	1	0	0	8	234
45	K. pneumoniae	stool	1401	1411	1661	0	0	0	0	0	0	1	20
