prefecture	species	specimen_type	drug1	drug2	SS	II	RR	XX_others	SR	RS	XY_others	within_drug1group_diff	within_drug2group_diff	within_drug1group_and_drug2group_diff
37	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
31	E. coli	respiratory	1401	1411	615	0	0	0	0	0	1	0	0	0
31	E. coli	urine	1401	1411	1962	0	1	0	2	0	2	0	0	0
31	E. coli	stool	1401	1411	650	0	0	0	4	0	1	0	0	0
31	E. coli	blood	1401	1411	286	0	0	0	0	0	1	0	0	0
31	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
11	E. coli	respiratory	1401	1411	685	0	6	2	3	0	15	0	0	0
11	E. coli	urine	1401	1411	2946	0	1	10	6	2	23	0	0	0
11	E. coli	stool	1401	1411	267	0	3	7	0	0	7	0	0	0
11	E. coli	blood	1401	1411	424	0	1	6	0	0	2	0	0	0
11	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
46	E. coli	respiratory	1401	1411	654	0	0	13	2	1	3	0	0	0
46	E. coli	urine	1401	1411	1997	0	1	66	0	1	1	0	0	0
46	E. coli	stool	1401	1411	550	0	0	0	3	0	4	0	0	0
46	E. coli	blood	1401	1411	195	0	0	10	0	0	0	0	0	0
46	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
40	E. coli	respiratory	1401	1411	283	0	0	23	0	0	0	0	0	0
40	E. coli	urine	1401	1411	585	0	1	22	0	1	0	0	0	0
40	E. coli	stool	1401	1411	395	0	1	13	0	1	0	0	0	0
40	E. coli	blood	1401	1411	92	0	0	9	0	0	0	0	0	0
40	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
17	E. coli	respiratory	1401	1411	405	0	0	0	0	0	0	0	0	0
17	E. coli	urine	1401	1411	1089	0	1	0	0	0	0	0	0	0
17	E. coli	stool	1401	1411	502	0	0	0	0	0	0	0	0	0
17	E. coli	blood	1401	1411	170	0	0	0	0	1	1	0	0	0
17	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
5	E. coli	respiratory	1401	1411	312	0	1	35	0	0	1	0	0	0
5	E. coli	urine	1401	1411	854	0	0	80	0	0	5	0	0	0
5	E. coli	stool	1401	1411	147	0	0	43	0	0	0	0	0	0
5	E. coli	blood	1401	1411	210	0	0	15	0	0	2	0	0	0
5	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
20	E. coli	respiratory	1401	1411	241	0	0	0	10	0	0	0	0	0
20	E. coli	urine	1401	1411	836	0	0	0	7	0	1	0	0	0
20	E. coli	stool	1401	1411	193	0	0	0	1	0	1	0	0	0
20	E. coli	blood	1401	1411	142	0	0	0	0	0	0	0	0	0
20	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
7	E. coli	respiratory	1401	1411	2139	0	2	40	0	0	0	0	0	0
7	E. coli	urine	1401	1411	5764	1	1	42	0	1	3	0	0	0
7	E. coli	stool	1401	1411	1527	0	0	12	8	0	5	0	0	0
7	E. coli	blood	1401	1411	719	0	0	5	0	0	0	0	0	0
7	E. coli	spinal	1401	1411	5	0	0	0	0	0	0	0	0	0
34	E. coli	respiratory	1401	1411	189	0	0	0	0	0	0	0	0	0
34	E. coli	urine	1401	1411	410	0	0	0	1	0	1	0	0	0
34	E. coli	stool	1401	1411	310	0	0	0	0	0	3	0	0	0
34	E. coli	blood	1401	1411	52	0	0	0	0	0	0	0	0	0
34	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
27	E. coli	respiratory	1401	1411	290	0	4	4	0	0	4	0	0	0
27	E. coli	urine	1401	1411	956	0	0	13	2	0	1	0	0	0
27	E. coli	stool	1401	1411	116	2	1	1	1	1	0	0	0	0
27	E. coli	blood	1401	1411	214	0	0	0	0	0	2	0	0	0
27	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
21	E. coli	respiratory	1401	1411	503	1	0	0	0	0	2	0	0	0
21	E. coli	urine	1401	1411	1798	0	0	1	1	0	1	0	0	0
21	E. coli	stool	1401	1411	236	0	0	0	0	0	0	0	0	0
21	E. coli	blood	1401	1411	222	0	0	0	0	0	1	0	0	0
21	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
30	E. coli	respiratory	1401	1411	284	0	1	40	0	3	2	0	0	0
30	E. coli	urine	1401	1411	936	0	1	99	1	1	5	0	0	0
30	E. coli	stool	1401	1411	64	0	0	7	0	0	0	0	0	0
30	E. coli	blood	1401	1411	120	0	0	21	0	0	0	0	0	0
30	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
25	E. coli	respiratory	1401	1411	124	0	0	0	0	1	0	0	0	0
25	E. coli	urine	1401	1411	466	0	0	0	1	1	2	0	0	0
25	E. coli	stool	1401	1411	32	0	0	0	0	0	0	0	0	0
25	E. coli	blood	1401	1411	56	0	0	0	0	0	1	0	0	0
25	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
18	E. coli	respiratory	1401	1411	339	0	0	0	0	2	1	0	0	0
18	E. coli	urine	1401	1411	1007	0	1	0	0	1	2	0	0	0
18	E. coli	stool	1401	1411	296	0	1	0	0	0	0	0	0	0
18	E. coli	blood	1401	1411	191	0	0	0	0	0	1	0	0	0
18	E. coli	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
32	E. coli	respiratory	1401	1411	459	1	0	1	0	0	1	0	0	0
32	E. coli	urine	1401	1411	2505	0	1	31	0	2	6	0	0	0
32	E. coli	stool	1401	1411	8	0	0	0	0	0	0	0	0	0
