prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
8	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	0	279
8	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	0	96
8	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	1	2	4
8	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	0	24
8	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
14	K. pneumoniae	respiratory	1401	1411	2601	0	1	0	0	0	0	3	768
14	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	2	309
14	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	41
14	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	0	158
14	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	3
39	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	0	255
39	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	3	125
39	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	12
39	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	1	52
39	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
10	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	3	0	0	2	747
10	K. pneumoniae	urine	1401	1411	2601	0	0	0	1	0	0	5	310
10	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	48
10	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	0	80
10	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
35	K. pneumoniae	respiratory	1401	1411	2601	0	1	0	0	0	0	69	799
35	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	34	412
35	K. pneumoniae	stool	1401	1411	2601	0	1	0	0	0	0	0	17
35	K. pneumoniae	blood	1401	1411	2601	0	0	0	1	0	0	9	167
35	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
4	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	60	672
4	K. pneumoniae	urine	1401	1411	2601	1	0	0	1	0	0	33	454
4	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	1	8
4	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	8	100
4	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
41	K. pneumoniae	respiratory	1401	1411	2601	0	1	0	0	0	0	69	3875
41	K. pneumoniae	urine	1401	1411	2601	0	6	0	0	0	2	41	1926
41	K. pneumoniae	stool	1401	1411	2601	0	2	0	0	0	4	16	621
41	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	2	18	627
41	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
19	K. pneumoniae	respiratory	1401	1411	2601	0	1	0	3	0	0	19	2290
19	K. pneumoniae	urine	1401	1411	2601	0	1	0	0	0	0	11	1093
19	K. pneumoniae	stool	1401	1411	2601	0	6	0	0	0	0	1	153
19	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	2	365
19	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
29	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	22	305
29	K. pneumoniae	urine	1401	1411	2601	0	0	0	1	0	0	8	181
29	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	7
29	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	7	82
29	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
43	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	0	176
43	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	1	60
43	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	4
43	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	0	46
43	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
15	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	2	1	483
15	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	6	0	266
15	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	2	0	35
15	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	0	80
15	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
6	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	2	119
6	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	0	51
6	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	0
6	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	0	24
6	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
47	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	0	41
47	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	0	15
47	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	1
47	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	0	5
47	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
26	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	1	0	0	30	677
26	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	1	41	503
26	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	32
26	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	8	139
26	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
9	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	105	323
9	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	51	177
9	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	2	19
9	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	16	59
9	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
38	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	2	0	0	0	403
38	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	1	2	221
38	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	1	4
38	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	1	77
38	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
1	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	3	150	1853
1	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	4	74	852
1	K. pneumoniae	stool	1401	1411	2601	2	4	0	0	1	2	1	194
1	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	8	388
1	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
23	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	1	19	368
23	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	1	12	244
23	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	1	2	92
23	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	2	77
23	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
36	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	1	41	256
36	K. pneumoniae	urine	1401	1411	2601	0	0	0	0	0	0	29	122
36	K. pneumoniae	stool	1401	1411	2601	1	1	0	0	0	0	2	6
36	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	9	59
36	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
22	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	0	14	272
22	K. pneumoniae	urine	1401	1411	2601	0	0	1	0	0	0	8	233
22	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	0	0	1
22	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	0	2	72
22	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
33	K. pneumoniae	respiratory	1401	1411	2601	0	0	0	0	0	6	54	1737
33	K. pneumoniae	urine	1401	1411	2601	0	1	0	1	1	3	38	996
33	K. pneumoniae	stool	1401	1411	2601	0	0	0	0	0	5	0	128
33	K. pneumoniae	blood	1401	1411	2601	0	0	0	0	0	1	9	321
33	K. pneumoniae	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
